PolicyNum,PTVPlanDesc,Status,Commencementdate,IssueDate,BasisType,PlanCurrency,PolicyFee,ApplicationDate,InitialPayDateReg,InitialPayDateSng,CurrentRegularPrem,RegularPremiumFreq,NextRenewalDate,LastPremPaidDate,PolicyTerm,PremiumsPaidTotal,SinglPremiumsTotal,UnsettledPremiums,PremOSTotal,Currentfundholding,CurrentSurrenderval,PremHolOption
8324519,Pacific,In force,42370,42461,SL,USD,90,19/12/2015,42461,0,1250,Monthly,43102,42897,67,28750,0,1250,0,35147.84,0,N
8324519,Pacific,In force,42370,42461,SL,USD,90,19/12/2015,42461,0,1250,Monthly,43102,42897,67,28750,0,1250,0,35147.84,0,N
8326264,Pacific,In force,42379,29/09/2016,SL,USD,90,24/09/2016,29/09/2016,0,750,Monthly,43102,26/09/2016,65,8999.99,0,2250,0,10051.64,0,N
8328345,Pacific,In force,42370,31/12/2015,SL,HKD,720,26/12/2015,31/12/2015,0,8000,Monthly,43102,42897,63,184000,0,8000,0,227817.03,0,N
8328415,Vista,Premium ceased,41647,25/07/2014,SL,HKD,720,41705,25/07/2014,0,7000,Monthly,42744,42893,25,492000,0,0,0,737329.1,0,N
8332989,Pacific,In force,42379,42531,SL,USD,90,42439,42531,0,12000,Annual,43110,42988,62,23999.99,0,0,0,27324.29,0,N
8333039,Pacific,In force,42379,42714,SL,USD,90,42470,42714,0,750,Monthly,43102,43019,71,10500,0,750,0,11610.38,0,N
8333039,Pacific,In force,42379,42714,SL,USD,90,42470,42714,0,750,Monthly,43102,43019,71,10500,0,750,0,11610.38,0,N
8333357,Pacific,In force,42380,16/10/2016,SL,USD,90,42500,16/10/2016,0,36000,Annual,43111,42897,58,71999.98,0,0,0,99462.62,0,N
8333366,Pacific,In force,42379,42714,SL,USD,90,42500,42714,0,12000,Annual,43110,42988,63,24000,0,0,0,27313.21,0,N
8335128,Vista,In force,41647,24/07/2014,SL,HKD,720,17/07/2014,24/07/2014,0,90000,6 Monthly,43102,42833,25,630000,0,0,0,891437.91,0,N
8335131,Pacific,In force,42379,42714,JLFD,USD,90,42531,42714,0,36000,Annual,43110,42988,63,71999.97,0,0,0,99377.07,0,N
8335131,Pacific,In force,42379,42714,JLFD,USD,90,42531,42714,0,36000,Annual,43110,42988,63,71999.97,0,0,0,99377.07,0,N
8335446,Vista,Premium ceased,41647,25/07/2014,SL,HKD,720,15/07/2014,25/07/2014,0,7000,Monthly,42373,42462,25,133000,0,0,0,225806.84,0,N
8336686,Pacific,In force,42738,28/02/2017,SL,USD,90,21/02/2017,28/02/2017,0,9000,Annual,43103,27/02/2017,66,9000,0,0,0,10158.36,0,N
8337155,Vista,In force,41647,22/07/2014,SL,HKD,720,41980,22/07/2014,0,2400,Monthly,43102,42897,25,232800,0,2400,0,382495.7,0,N
